EmployeeID,Name,ReviewPeriod,Rating,Comments
101,Kenneth Gordon,Q1 2023,3.4,Excellent performance
102,Melissa Webb,Q2 2023,1.2,Very good performance
103,Joel Peterson,Q3 2023,4.2,Needs improvement
104,Daniel Carlson,Q4 2023,1.6,Needs improvement
105,Nicholas Brown,Q1 2023,4.1,Excellent performance
106,Stacey Jimenez,Q2 2023,4.5,Needs improvement
107,Justin Mclaughlin,Q3 2023,2.4,Needs improvement
108,Dawn Khan,Q4 2023,3.0,Good performance
109,Laura Bowers,Q1 2023,4.9,Good performance
110,Maria Carr,Q2 2023,4.4,Excellent performance
111,Mike Chen,Q3 2023,1.8,Needs improvement
112,Michael Rivera,Q4 2023,1.8,Excellent performance
113,Tiffany Jacobson,Q1 2023,2.2,Very good performance
114,Trevor Smith,Q2 2023,1.2,Very good performance
115,Patricia Hernandez,Q3 2023,1.3,Excellent performance
116,Ryan Thompson,Q4 2023,2.9,Good performance
117,Laura Leon,Q1 2023,4.2,Excellent performance
118,Rhonda Delgado,Q2 2023,3.7,Very good performance
119,Jessica Anderson,Q3 2023,1.5,Very good performance
120,Kimberly Miller,Q4 2023,1.6,Needs improvement
121,Matthew Ramirez,Q1 2023,2.8,Excellent performance
122,Kenneth Payne,Q2 2023,4.4,Very good performance
123,Mark Mcdowell,Q3 2023,3.1,Needs improvement
124,Jennifer Malone,Q4 2023,2.2,Excellent performance
125,Desiree Marks,Q1 2023,3.4,Excellent performance
126,Kevin Castaneda,Q2 2023,3.7,Good performance
127,Sheila Young,Q3 2023,1.3,Very good performance
128,Daniel Carlson,Q4 2023,1.7,Very good performance
129,Daniel Huerta,Q1 2023,4.2,Very good performance
130,Crystal Howard DDS,Q2 2023,4.0,Good performance
131,Matthew Werner,Q3 2023,2.1,Very good performance
132,Laura Johnston,Q4 2023,3.8,Very good performance
133,Thomas Wilson,Q1 2023,3.0,Excellent performance
134,Courtney Kent,Q2 2023,4.3,Good performance
135,Erin Williams,Q3 2023,3.6,Needs improvement
136,Jay Lopez,Q4 2023,2.3,Very good performance
137,Rachel Martin,Q1 2023,2.6,Very good performance
138,Gregory Gibbs,Q2 2023,1.6,Very good performance
139,Tyler Robbins,Q3 2023,3.8,Very good performance
140,Michael Mccall,Q4 2023,4.7,Good performance
141,Matthew Richardson,Q1 2023,4.7,Excellent performance
142,Andrew Villanueva,Q2 2023,4.2,Good performance
143,Michelle Salazar,Q3 2023,1.0,Very good performance
144,Kathleen Ortega,Q4 2023,3.7,Needs improvement
145,Matthew Ramirez,Q1 2023,4.2,Very good performance
146,Hannah Myers,Q2 2023,1.4,Very good performance
147,Peggy Craig,Q3 2023,3.0,Good performance
148,Ian Mcpherson,Q4 2023,4.2,Good performance
149,Christopher Holden,Q1 2023,4.6,Excellent performance
150,Tina Vaughan,Q2 2023,1.3,Good performance
151,Mark Hayden,Q3 2023,4.2,Very good performance
152,Michael Shepard,Q4 2023,4.9,Excellent performance
153,Mark Mcdowell,Q1 2023,1.3,Very good performance
154,Lauren Pierce,Q2 2023,4.6,Good performance
155,Bryan Ross,Q3 2023,3.0,Very good performance
156,Scott Hudson,Q4 2023,1.4,Needs improvement
157,Katelyn Stanley,Q1 2023,3.9,Very good performance
158,Tammy Robertson,Q2 2023,3.5,Very good performance
159,Gregory Jones,Q3 2023,1.6,Excellent performance
160,Derrick Schneider,Q4 2023,4.5,Good performance
161,Jason Smith,Q1 2023,3.1,Needs improvement
162,Mike Chen,Q2 2023,1.7,Good performance
163,Mary Watson,Q3 2023,2.2,Needs improvement
164,Michelle Fox,Q4 2023,2.7,Good performance
165,Sean Jones,Q1 2023,3.1,Excellent performance
166,Kelly Lopez,Q2 2023,4.9,Excellent performance
167,Robin Sanchez DDS,Q3 2023,1.5,Good performance
168,Megan Mclaughlin,Q4 2023,4.6,Good performance
169,Warren Oneal,Q1 2023,2.5,Needs improvement
170,Patricia Hernandez,Q2 2023,1.8,Excellent performance
171,Jessica Dixon,Q3 2023,3.1,Very good performance
172,Christopher Fox,Q4 2023,3.8,Needs improvement
173,James Kent,Q1 2023,3.7,Good performance
174,Jennifer Malone,Q2 2023,2.1,Good performance
175,Laurie Reed,Q3 2023,2.0,Good performance
176,Priscilla Morales,Q4 2023,1.1,Excellent performance
177,Patrick Sanchez,Q1 2023,3.3,Excellent performance
178,Kenneth Bailey,Q2 2023,3.0,Excellent performance
179,Laurie Haynes,Q3 2023,1.9,Excellent performance
180,Emily Shea,Q4 2023,4.1,Excellent performance
181,Anthony Hull,Q1 2023,4.6,Very good performance
182,Lauren Fox,Q2 2023,2.9,Good performance
183,Krystal Higgins,Q3 2023,2.7,Very good performance
184,Michael Kennedy,Q4 2023,3.6,Excellent performance
185,Gina Davis,Q1 2023,3.8,Good performance
186,Jeremy Lopez,Q2 2023,4.1,Excellent performance
187,John Weaver,Q3 2023,2.8,Excellent performance
188,William French,Q4 2023,2.5,Good performance
189,Jennifer Morgan,Q1 2023,1.7,Excellent performance
190,Kelly Bates,Q2 2023,3.9,Good performance
191,Eric Jimenez,Q3 2023,1.3,Needs improvement
192,Jasmine Davenport,Q4 2023,1.8,Good performance
193,Nicole Morgan,Q1 2023,4.1,Very good performance
194,John Chen,Q2 2023,2.6,Very good performance
195,Nancy Fischer,Q3 2023,3.1,Needs improvement
196,Dr. Leah Ford,Q4 2023,3.7,Good performance
197,Vincent Douglas,Q1 2023,3.1,Needs improvement
198,Kelly Sweeney,Q2 2023,1.9,Needs improvement
199,Vanessa Lee,Q3 2023,1.5,Good performance
200,Carol Davis MD,Q4 2023,2.0,Good performance
201,Michelle Flores,Q1 2023,1.4,Very good performance
202,Shawn Warren,Q2 2023,2.5,Needs improvement
203,Beverly Franklin,Q3 2023,3.1,Good performance
204,Jody Gray,Q4 2023,2.6,Good performance
205,Wendy Clark,Q1 2023,1.5,Very good performance
206,Cynthia Norris,Q2 2023,2.8,Excellent performance
207,Brandon King,Q3 2023,1.4,Good performance
208,Teresa Mooney,Q4 2023,3.3,Very good performance
209,Jason Vargas,Q1 2023,3.9,Good performance
210,Michelle Fuentes,Q2 2023,3.5,Excellent performance
211,Robin Olson,Q3 2023,2.1,Excellent performance
212,Kayla Huffman PhD,Q4 2023,4.9,Needs improvement
213,Michael Ryan,Q1 2023,3.4,Excellent performance
214,Keith Charles,Q2 2023,3.3,Good performance
215,Andrew Collins,Q3 2023,3.3,Very good performance
216,Matthew Brennan,Q4 2023,4.0,Needs improvement
217,Barbara Hayes,Q1 2023,2.4,Excellent performance
218,Michael Wilson,Q2 2023,1.5,Good performance
219,Carl Beck,Q3 2023,2.3,Excellent performance
220,Anne Keller,Q4 2023,4.0,Very good performance
221,Dawn Frazier,Q1 2023,4.5,Good performance
222,Cynthia Wallace,Q2 2023,2.5,Very good performance
223,Sandra Scott,Q3 2023,2.9,Excellent performance
224,Kelsey Livingston,Q4 2023,1.5,Good performance
225,Amy Massey,Q1 2023,3.8,Excellent performance
226,Cheryl Kirby,Q2 2023,4.5,Very good performance
227,Hannah Myers,Q3 2023,3.1,Good performance
228,Deborah Andersen,Q4 2023,4.7,Excellent performance
229,Barbara Moses,Q1 2023,4.9,Needs improvement
230,Scott Duncan,Q2 2023,2.3,Very good performance
231,Steven Welch,Q3 2023,3.0,Needs improvement
